anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0003450	http://purl.obolibrary.org/obo/UPHENO_0072254
http://purl.obolibrary.org/obo/UBERON_0003451	http://purl.obolibrary.org/obo/UPHENO_0072256
http://purl.obolibrary.org/obo/UBERON_0001075	http://purl.obolibrary.org/obo/UPHENO_0072181
http://purl.obolibrary.org/obo/UBERON_0007812	http://purl.obolibrary.org/obo/UPHENO_0072260
http://purl.obolibrary.org/obo/UBERON_0000981	http://purl.obolibrary.org/obo/UPHENO_0072262
http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/UPHENO_0072261
http://purl.obolibrary.org/obo/UBERON_0001155	http://purl.obolibrary.org/obo/UPHENO_0072267
http://purl.obolibrary.org/obo/UBERON_0001705	http://purl.obolibrary.org/obo/UPHENO_0072268
http://purl.obolibrary.org/obo/UBERON_0000979	http://purl.obolibrary.org/obo/UPHENO_0072269
http://purl.obolibrary.org/obo/UBERON_0001228	http://purl.obolibrary.org/obo/UPHENO_0072189
http://purl.obolibrary.org/obo/UBERON_0000974	http://purl.obolibrary.org/obo/UPHENO_0072272
http://purl.obolibrary.org/obo/UBERON_0000976	http://purl.obolibrary.org/obo/UPHENO_0072275
http://purl.obolibrary.org/obo/UBERON_0001702	http://purl.obolibrary.org/obo/UPHENO_0072394
http://purl.obolibrary.org/obo/UBERON_0010222	http://purl.obolibrary.org/obo/UPHENO_0072194
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0072195
http://purl.obolibrary.org/obo/UBERON_0011933	http://purl.obolibrary.org/obo/UPHENO_0072196
http://purl.obolibrary.org/obo/UBERON_0003128	http://purl.obolibrary.org/obo/UPHENO_0072199
http://purl.obolibrary.org/obo/UBERON_0000059	http://purl.obolibrary.org/obo/UPHENO_0072283
http://purl.obolibrary.org/obo/UBERON_0000378	http://purl.obolibrary.org/obo/UPHENO_0072201
http://purl.obolibrary.org/obo/UBERON_0001424	http://purl.obolibrary.org/obo/UPHENO_0072284
http://purl.obolibrary.org/obo/UBERON_0001423	http://purl.obolibrary.org/obo/UPHENO_0072285
http://purl.obolibrary.org/obo/UBERON_0002397	http://purl.obolibrary.org/obo/UPHENO_0072202
http://purl.obolibrary.org/obo/UBERON_0002108	http://purl.obolibrary.org/obo/UPHENO_0072289
http://purl.obolibrary.org/obo/UBERON_0002228	http://purl.obolibrary.org/obo/UPHENO_0072290
http://purl.obolibrary.org/obo/UBERON_0000160	http://purl.obolibrary.org/obo/UPHENO_0072295
http://purl.obolibrary.org/obo/UBERON_0001691	http://purl.obolibrary.org/obo/UPHENO_0072352
http://purl.obolibrary.org/obo/UBERON_0010512	http://purl.obolibrary.org/obo/UPHENO_0072298
http://purl.obolibrary.org/obo/UBERON_0002544	http://purl.obolibrary.org/obo/UPHENO_0072215
http://purl.obolibrary.org/obo/UBERON_0002103	http://purl.obolibrary.org/obo/UPHENO_0090154
http://purl.obolibrary.org/obo/UBERON_0001456	http://purl.obolibrary.org/obo/UPHENO_0072219
http://purl.obolibrary.org/obo/GO_0001917	http://purl.obolibrary.org/obo/UPHENO_0090155
http://purl.obolibrary.org/obo/UBERON_0001098	http://purl.obolibrary.org/obo/UPHENO_0072309
http://purl.obolibrary.org/obo/UBERON_0002102	http://purl.obolibrary.org/obo/UPHENO_0090156
http://purl.obolibrary.org/obo/UBERON_0002101	http://purl.obolibrary.org/obo/UPHENO_0072312
http://purl.obolibrary.org/obo/GO_0000781	http://purl.obolibrary.org/obo/UPHENO_0090157
http://purl.obolibrary.org/obo/UBERON_0001448	http://purl.obolibrary.org/obo/UPHENO_0072223
http://purl.obolibrary.org/obo/UBERON_0001844	http://purl.obolibrary.org/obo/UPHENO_0090158
http://purl.obolibrary.org/obo/GO_0001750	http://purl.obolibrary.org/obo/UPHENO_0090159
http://purl.obolibrary.org/obo/UBERON_0013678	http://purl.obolibrary.org/obo/UPHENO_0072226
http://purl.obolibrary.org/obo/GO_0043197	http://purl.obolibrary.org/obo/UPHENO_0090160
http://purl.obolibrary.org/obo/UBERON_0006333	http://purl.obolibrary.org/obo/UPHENO_0072230
http://purl.obolibrary.org/obo/GO_0036126	http://purl.obolibrary.org/obo/UPHENO_0090161
http://purl.obolibrary.org/obo/UBERON_0001446	http://purl.obolibrary.org/obo/UPHENO_0072238
http://purl.obolibrary.org/obo/UBERON_0002374	http://purl.obolibrary.org/obo/UPHENO_0072242
http://purl.obolibrary.org/obo/UBERON_0002495	http://purl.obolibrary.org/obo/UPHENO_0072241
http://purl.obolibrary.org/obo/UBERON_0001684	http://purl.obolibrary.org/obo/UPHENO_0072245
http://purl.obolibrary.org/obo/UBERON_0001716	http://purl.obolibrary.org/obo/UPHENO_0072247
http://purl.obolibrary.org/obo/GO_0002177	http://purl.obolibrary.org/obo/UPHENO_0090162
http://purl.obolibrary.org/obo/UBERON_0000468	http://purl.obolibrary.org/obo/UPHENO_0072251
http://purl.obolibrary.org/obo/UBERON_0010231	http://purl.obolibrary.org/obo/UPHENO_0072326
