anatomical_entity	orientation	defined_class
http://purl.obolibrary.org/obo/UBERON_0000979	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031090
http://purl.obolibrary.org/obo/UBERON_0000976	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031093
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031193
http://purl.obolibrary.org/obo/UBERON_0001446	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031195
http://purl.obolibrary.org/obo/UBERON_0001424	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031149
http://purl.obolibrary.org/obo/UBERON_0001423	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031151
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002031	http://purl.obolibrary.org/obo/UPHENO_0031152
http://purl.obolibrary.org/obo/UBERON_0006333	http://purl.obolibrary.org/obo/PATO_0002031	http://purl.obolibrary.org/obo/UPHENO_0031103
http://purl.obolibrary.org/obo/UBERON_0001446	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031154
http://purl.obolibrary.org/obo/UBERON_0000976	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031238
http://purl.obolibrary.org/obo/UBERON_0001424	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031105
http://purl.obolibrary.org/obo/UBERON_0000964	http://purl.obolibrary.org/obo/PATO_0001848	http://purl.obolibrary.org/obo/UPHENO_0031199
http://purl.obolibrary.org/obo/UBERON_0000979	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031245
http://purl.obolibrary.org/obo/UBERON_0002544	http://purl.obolibrary.org/obo/PATO_0001649	http://purl.obolibrary.org/obo/UPHENO_0031162
http://purl.obolibrary.org/obo/UBERON_0003128	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031205
http://purl.obolibrary.org/obo/UBERON_0006333	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031165
http://purl.obolibrary.org/obo/UBERON_0001423	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031115
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001848	http://purl.obolibrary.org/obo/UPHENO_0031170
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001649	http://purl.obolibrary.org/obo/UPHENO_0031253
http://purl.obolibrary.org/obo/UBERON_0000981	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031177
http://purl.obolibrary.org/obo/UBERON_0010513	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031208
http://purl.obolibrary.org/obo/UBERON_0002228	http://purl.obolibrary.org/obo/PATO_0001785	http://purl.obolibrary.org/obo/UPHENO_0031209
http://purl.obolibrary.org/obo/UBERON_0010512	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031210
http://purl.obolibrary.org/obo/UBERON_0010511	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031211
http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031181
http://purl.obolibrary.org/obo/UBERON_0010510	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031263
http://purl.obolibrary.org/obo/UBERON_0010513	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031265
http://purl.obolibrary.org/obo/UBERON_0000964	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031129
http://purl.obolibrary.org/obo/UBERON_0002228	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031130
http://purl.obolibrary.org/obo/UBERON_0003128	http://purl.obolibrary.org/obo/PATO_0001789	http://purl.obolibrary.org/obo/UPHENO_0031132
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031268
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001593	http://purl.obolibrary.org/obo/UPHENO_0031269
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001785	http://purl.obolibrary.org/obo/UPHENO_0031135
http://purl.obolibrary.org/obo/UBERON_0000981	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031137
http://purl.obolibrary.org/obo/UBERON_0002544	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031188
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001789	http://purl.obolibrary.org/obo/UPHENO_0031139
http://purl.obolibrary.org/obo/UBERON_0010510	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031140
http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0031138
http://purl.obolibrary.org/obo/UBERON_0010513	http://purl.obolibrary.org/obo/PATO_0001593	http://purl.obolibrary.org/obo/UPHENO_0031272
http://purl.obolibrary.org/obo/UBERON_0010512	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031273
http://purl.obolibrary.org/obo/UBERON_0010511	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0031275
