anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0004022	http://purl.obolibrary.org/obo/UPHENO_0047882
http://purl.obolibrary.org/obo/UBERON_0011745	http://purl.obolibrary.org/obo/UPHENO_0047885
http://purl.obolibrary.org/obo/UBERON_0002483	http://purl.obolibrary.org/obo/UPHENO_0047886
http://purl.obolibrary.org/obo/UBERON_0001790	http://purl.obolibrary.org/obo/UPHENO_0085902
http://purl.obolibrary.org/obo/UBERON_0007812	http://purl.obolibrary.org/obo/UPHENO_0047889
http://purl.obolibrary.org/obo/UBERON_0008780	http://purl.obolibrary.org/obo/UPHENO_0047815
http://purl.obolibrary.org/obo/UBERON_0001795	http://purl.obolibrary.org/obo/UPHENO_0048127
http://purl.obolibrary.org/obo/UBERON_0001792	http://purl.obolibrary.org/obo/UPHENO_0047895
http://purl.obolibrary.org/obo/UBERON_0001791	http://purl.obolibrary.org/obo/UPHENO_0047896
http://purl.obolibrary.org/obo/UBERON_0004663	http://purl.obolibrary.org/obo/UPHENO_0047897
http://purl.obolibrary.org/obo/UBERON_0001276	http://purl.obolibrary.org/obo/UPHENO_0047898
http://purl.obolibrary.org/obo/UBERON_0004784	http://purl.obolibrary.org/obo/UPHENO_0047899
http://purl.obolibrary.org/obo/UBERON_0002515	http://purl.obolibrary.org/obo/UPHENO_0047900
http://purl.obolibrary.org/obo/UBERON_0001789	http://purl.obolibrary.org/obo/UPHENO_0047901
http://purl.obolibrary.org/obo/UBERON_0002956	http://purl.obolibrary.org/obo/UPHENO_0047819
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0047821
http://purl.obolibrary.org/obo/UBERON_0010402	http://purl.obolibrary.org/obo/UPHENO_0047906
http://purl.obolibrary.org/obo/UBERON_0002072	http://purl.obolibrary.org/obo/UPHENO_0047907
http://purl.obolibrary.org/obo/UBERON_0001103	http://purl.obolibrary.org/obo/UPHENO_0047823
http://purl.obolibrary.org/obo/UBERON_0000014	http://purl.obolibrary.org/obo/UPHENO_0047824
http://purl.obolibrary.org/obo/UBERON_0001344	http://purl.obolibrary.org/obo/UPHENO_0047825
http://purl.obolibrary.org/obo/UBERON_0005942	http://purl.obolibrary.org/obo/UPHENO_0079531
http://purl.obolibrary.org/obo/UBERON_0005941	http://purl.obolibrary.org/obo/UPHENO_0079532
http://purl.obolibrary.org/obo/UBERON_0004893	http://purl.obolibrary.org/obo/UPHENO_0047911
http://purl.obolibrary.org/obo/UBERON_0001777	http://purl.obolibrary.org/obo/UPHENO_0047915
http://purl.obolibrary.org/obo/UBERON_0000964	http://purl.obolibrary.org/obo/UPHENO_0047914
http://purl.obolibrary.org/obo/UBERON_0002349	http://purl.obolibrary.org/obo/UPHENO_0047916
http://purl.obolibrary.org/obo/UBERON_0011742	http://purl.obolibrary.org/obo/UPHENO_0047922
http://purl.obolibrary.org/obo/UBERON_0001691	http://purl.obolibrary.org/obo/UPHENO_0047832
http://purl.obolibrary.org/obo/UBERON_0005372	http://purl.obolibrary.org/obo/UPHENO_0047835
http://purl.obolibrary.org/obo/UBERON_0005371	http://purl.obolibrary.org/obo/UPHENO_0047836
http://purl.obolibrary.org/obo/UBERON_0007151	http://purl.obolibrary.org/obo/UPHENO_0047837
http://purl.obolibrary.org/obo/UBERON_0002027	http://purl.obolibrary.org/obo/UPHENO_0047838
http://purl.obolibrary.org/obo/UBERON_0002500	http://purl.obolibrary.org/obo/UPHENO_0047931
http://purl.obolibrary.org/obo/UBERON_0002026	http://purl.obolibrary.org/obo/UPHENO_0047841
http://purl.obolibrary.org/obo/UBERON_0005777	http://purl.obolibrary.org/obo/UPHENO_0047842
http://purl.obolibrary.org/obo/UBERON_0004367	http://purl.obolibrary.org/obo/UPHENO_0082497
http://purl.obolibrary.org/obo/UBERON_0002067	http://purl.obolibrary.org/obo/UPHENO_0047937
http://purl.obolibrary.org/obo/UBERON_0004125	http://purl.obolibrary.org/obo/UPHENO_0047938
http://purl.obolibrary.org/obo/UBERON_0008883	http://purl.obolibrary.org/obo/UPHENO_0047844
http://purl.obolibrary.org/obo/UBERON_0001772	http://purl.obolibrary.org/obo/UPHENO_0047940
http://purl.obolibrary.org/obo/UBERON_0002025	http://purl.obolibrary.org/obo/UPHENO_0047845
http://purl.obolibrary.org/obo/UBERON_0002069	http://purl.obolibrary.org/obo/UPHENO_0047941
http://purl.obolibrary.org/obo/UBERON_0002146	http://purl.obolibrary.org/obo/UPHENO_0047846
http://purl.obolibrary.org/obo/UBERON_0004883	http://purl.obolibrary.org/obo/UPHENO_0047943
http://purl.obolibrary.org/obo/UBERON_0000956	http://purl.obolibrary.org/obo/UPHENO_0047944
http://purl.obolibrary.org/obo/UBERON_0001847	http://purl.obolibrary.org/obo/UPHENO_0047848
http://purl.obolibrary.org/obo/UBERON_0003946	http://purl.obolibrary.org/obo/UPHENO_0047946
http://purl.obolibrary.org/obo/GO_0043209	http://purl.obolibrary.org/obo/UPHENO_0089344
http://purl.obolibrary.org/obo/UBERON_0005484	http://purl.obolibrary.org/obo/UPHENO_0047855
http://purl.obolibrary.org/obo/GO_0036126	http://purl.obolibrary.org/obo/UPHENO_0089345
http://purl.obolibrary.org/obo/UBERON_0002094	http://purl.obolibrary.org/obo/UPHENO_0047856
http://purl.obolibrary.org/obo/UBERON_0002137	http://purl.obolibrary.org/obo/UPHENO_0047858
http://purl.obolibrary.org/obo/UBERON_0001003	http://purl.obolibrary.org/obo/UPHENO_0047953
http://purl.obolibrary.org/obo/UBERON_0001242	http://purl.obolibrary.org/obo/UPHENO_0085903
http://purl.obolibrary.org/obo/UBERON_0004356	http://purl.obolibrary.org/obo/UPHENO_0047958
http://purl.obolibrary.org/obo/UBERON_0005368	http://purl.obolibrary.org/obo/UPHENO_0047868
http://purl.obolibrary.org/obo/UBERON_0002135	http://purl.obolibrary.org/obo/UPHENO_0047871
http://purl.obolibrary.org/obo/UBERON_0002134	http://purl.obolibrary.org/obo/UPHENO_0047872
http://purl.obolibrary.org/obo/UBERON_0001833	http://purl.obolibrary.org/obo/UPHENO_0047873
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UPHENO_0047874
http://purl.obolibrary.org/obo/UBERON_0001711	http://purl.obolibrary.org/obo/UPHENO_0047875
http://purl.obolibrary.org/obo/UBERON_0001439	http://purl.obolibrary.org/obo/UPHENO_0047876
http://purl.obolibrary.org/obo/UBERON_0036286	http://purl.obolibrary.org/obo/UPHENO_0085904
http://purl.obolibrary.org/obo/UBERON_0001835	http://purl.obolibrary.org/obo/UPHENO_0089346
http://purl.obolibrary.org/obo/UBERON_0036285	http://purl.obolibrary.org/obo/UPHENO_0085905
http://purl.obolibrary.org/obo/UBERON_0001834	http://purl.obolibrary.org/obo/UPHENO_0047878
http://purl.obolibrary.org/obo/UBERON_0036288	http://purl.obolibrary.org/obo/UPHENO_0085906
