subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
APO:0000045		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
MP:0000001		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
HP:0000118		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
WBPhenotype:0000886		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
XPO:00000000		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
PLANP:00000000		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
ZP:0000000		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
FBcv:0001347		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
FYPO:0000001		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
DDPHENO:0010000		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
PHIPO:0000505		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
MGPO:0001001		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
APO:0000017		semapv:crossSpeciesExactMatch	UPHENO:0001003	phenotype	semapv:ManualMappingCuration
MP:0005375	adipose tissue phenotype	semapv:crossSpeciesExactMatch	UPHENO:0076797	abnormal adipose tissue morphology	semapv:ManualMappingCuration
MP:0005386	behavior/neurological phenotype	semapv:crossSpeciesExactMatch	UPHENO:0049622	abnormal behavior	semapv:ManualMappingCuration
MP:0005385	cardiovascular system phenotype	semapv:crossSpeciesExactMatch	UPHENO:0004507	abnormal cardiovascular system	semapv:ManualMappingCuration
MP:0005384	cellular phenotype	semapv:crossSpeciesExactMatch	UPHENO:0086172	abnormal cell	semapv:ManualMappingCuration
MP:0005382	craniofacial phenotype	semapv:crossSpeciesBroadMatch	UPHENO:3000000	craniofacial or craniocervical phenotype	semapv:ManualMappingCuration
MP:0005381	digestive/alimentary phenotype	semapv:crossSpeciesBroadMatch	UPHENO:0002833	abnormal digestive system	semapv:ManualMappingCuration
MP:0005380	embryo phenotype	semapv:crossSpeciesBroadMatch	UPHENO:3000001	embryonic development and birth phenotype	semapv:ManualMappingCuration
MP:0005379	endocrine/exocrine gland phenotype	semapv:crossSpeciesBroadMatch	UPHENO:0003116	abnormal endocrine system	semapv:ManualMappingCuration
MP:0005378	growth/size/body region phenotype	semapv:crossSpeciesBroadMatch	UPHENO:0049874	abnormal growth	semapv:ManualMappingCuration
MP:0005377	hearing/vestibular/ear phenotype	semapv:crossSpeciesBroadMatch	UPHENO:0002903	abnormal ear	semapv:ManualMappingCuration
MP:0005397	hematopoietic system phenotype	semapv:crossSpeciesExactMatch	UPHENO:0004459	abnormal hematopoietic system	semapv:ManualMappingCuration
MP:0005376	homeostasis/metabolism phenotype	semapv:crossSpeciesBroadMatch	UPHENO:0049904	abnormal homeostatic process	semapv:ManualMappingCuration
MP:0005387	immune system phenotype	semapv:crossSpeciesExactMatch	UPHENO:0002948	abnormal immune system	semapv:ManualMappingCuration
MP:0010771	integument phenotype	semapv:crossSpeciesExactMatch	UPHENO:0002635	abnormal integument	semapv:ManualMappingCuration
MP:0005371	limbs/digits/tail phenotype	semapv:crossSpeciesExactMatch	UPHENO:0002830	abnormal limb	semapv:ManualMappingCuration
MP:0005370	liver/biliary system phenotype	semapv:crossSpeciesExactMatch	UPHENO:0003405	abnormal liver	semapv:ManualMappingCuration
MP:0010768	mortality/aging	semapv:crossSpeciesExactMatch	UPHENO:3000002	mortality and aging phenotype	semapv:ManualMappingCuration
MP:0005369	muscle phenotype	semapv:crossSpeciesExactMatch	UPHENO:0002816	abnormal musculature	semapv:ManualMappingCuration
MP:0002006	neoplasm	semapv:crossSpeciesExactMatch	UPHENO:3000003	neoplasm (phenotype)	semapv:ManualMappingCuration
