cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0043197	http://purl.obolibrary.org/obo/UPHENO_0067636
http://purl.obolibrary.org/obo/GO_0000262	http://purl.obolibrary.org/obo/UPHENO_0067637
http://purl.obolibrary.org/obo/GO_0042383	http://purl.obolibrary.org/obo/UPHENO_0067638
http://purl.obolibrary.org/obo/GO_0016529	http://purl.obolibrary.org/obo/UPHENO_0067639
http://purl.obolibrary.org/obo/GO_0016607	http://purl.obolibrary.org/obo/UPHENO_0067640
http://purl.obolibrary.org/obo/GO_0008021	http://purl.obolibrary.org/obo/UPHENO_0067641
http://purl.obolibrary.org/obo/GO_0005794	http://purl.obolibrary.org/obo/UPHENO_0067642
http://purl.obolibrary.org/obo/GO_0005795	http://purl.obolibrary.org/obo/UPHENO_0067643
http://purl.obolibrary.org/obo/GO_0014704	http://purl.obolibrary.org/obo/UPHENO_0067644
http://purl.obolibrary.org/obo/GO_0005634	http://purl.obolibrary.org/obo/UPHENO_0067645
http://purl.obolibrary.org/obo/GO_0001750	http://purl.obolibrary.org/obo/UPHENO_0067646
http://purl.obolibrary.org/obo/GO_0060091	http://purl.obolibrary.org/obo/UPHENO_0067647
http://purl.obolibrary.org/obo/GO_0005759	http://purl.obolibrary.org/obo/UPHENO_0067648
http://purl.obolibrary.org/obo/GO_0097730	http://purl.obolibrary.org/obo/UPHENO_0067649
http://purl.obolibrary.org/obo/GO_0043195	http://purl.obolibrary.org/obo/UPHENO_0067650
http://purl.obolibrary.org/obo/GO_0000781	http://purl.obolibrary.org/obo/UPHENO_0067651
http://purl.obolibrary.org/obo/GO_0043194	http://purl.obolibrary.org/obo/UPHENO_0067652
http://purl.obolibrary.org/obo/GO_0036053	http://purl.obolibrary.org/obo/UPHENO_0067653
http://purl.obolibrary.org/obo/GO_0042827	http://purl.obolibrary.org/obo/UPHENO_0067654
http://purl.obolibrary.org/obo/GO_0015030	http://purl.obolibrary.org/obo/UPHENO_0067655
http://purl.obolibrary.org/obo/GO_0030673	http://purl.obolibrary.org/obo/UPHENO_0067656
http://purl.obolibrary.org/obo/GO_0033269	http://purl.obolibrary.org/obo/UPHENO_0067657
http://purl.obolibrary.org/obo/GO_0033268	http://purl.obolibrary.org/obo/UPHENO_0067658
http://purl.obolibrary.org/obo/GO_0061827	http://purl.obolibrary.org/obo/UPHENO_0084414
http://purl.obolibrary.org/obo/GO_0015630	http://purl.obolibrary.org/obo/UPHENO_0067659
http://purl.obolibrary.org/obo/GO_0014069	http://purl.obolibrary.org/obo/UPHENO_0067660
http://purl.obolibrary.org/obo/GO_0016605	http://purl.obolibrary.org/obo/UPHENO_0067661
http://purl.obolibrary.org/obo/GO_0035686	http://purl.obolibrary.org/obo/UPHENO_0067662
http://purl.obolibrary.org/obo/GO_0042470	http://purl.obolibrary.org/obo/UPHENO_0067663
http://purl.obolibrary.org/obo/GO_0043005	http://purl.obolibrary.org/obo/UPHENO_0067664
http://purl.obolibrary.org/obo/GO_0097381	http://purl.obolibrary.org/obo/UPHENO_0067665
http://purl.obolibrary.org/obo/GO_0030424	http://purl.obolibrary.org/obo/UPHENO_0067666
http://purl.obolibrary.org/obo/GO_0002177	http://purl.obolibrary.org/obo/UPHENO_0067667
http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0067668
http://purl.obolibrary.org/obo/GO_0030425	http://purl.obolibrary.org/obo/UPHENO_0067669
http://purl.obolibrary.org/obo/GO_0031514	http://purl.obolibrary.org/obo/UPHENO_0067670
http://purl.obolibrary.org/obo/GO_0005840	http://purl.obolibrary.org/obo/UPHENO_0085967
http://purl.obolibrary.org/obo/GO_0005764	http://purl.obolibrary.org/obo/UPHENO_0067671
http://purl.obolibrary.org/obo/GO_0001520	http://purl.obolibrary.org/obo/UPHENO_0084415
http://purl.obolibrary.org/obo/GO_0005604	http://purl.obolibrary.org/obo/UPHENO_0067672
http://purl.obolibrary.org/obo/GO_0097226	http://purl.obolibrary.org/obo/UPHENO_0067674
http://purl.obolibrary.org/obo/GO_0031594	http://purl.obolibrary.org/obo/UPHENO_0067675
http://purl.obolibrary.org/obo/GO_0097225	http://purl.obolibrary.org/obo/UPHENO_0067676
http://purl.obolibrary.org/obo/GO_0097228	http://purl.obolibrary.org/obo/UPHENO_0067677
http://purl.obolibrary.org/obo/GO_0097227	http://purl.obolibrary.org/obo/UPHENO_0067678
http://purl.obolibrary.org/obo/GO_0031674	http://purl.obolibrary.org/obo/UPHENO_0067679
http://purl.obolibrary.org/obo/GO_0097229	http://purl.obolibrary.org/obo/UPHENO_0067680
http://purl.obolibrary.org/obo/GO_0031672	http://purl.obolibrary.org/obo/UPHENO_0067681
http://purl.obolibrary.org/obo/GO_0031430	http://purl.obolibrary.org/obo/UPHENO_0067682
http://purl.obolibrary.org/obo/GO_0005929	http://purl.obolibrary.org/obo/UPHENO_0067683
http://purl.obolibrary.org/obo/GO_0031673	http://purl.obolibrary.org/obo/UPHENO_0067684
http://purl.obolibrary.org/obo/GO_0043209	http://purl.obolibrary.org/obo/UPHENO_0067685
http://purl.obolibrary.org/obo/GO_0030061	http://purl.obolibrary.org/obo/UPHENO_0067686
http://purl.obolibrary.org/obo/GO_0036126	http://purl.obolibrary.org/obo/UPHENO_0067687
http://purl.obolibrary.org/obo/GO_0032280	http://purl.obolibrary.org/obo/UPHENO_0067688
http://purl.obolibrary.org/obo/GO_0060076	http://purl.obolibrary.org/obo/UPHENO_0067689
http://purl.obolibrary.org/obo/GO_0060077	http://purl.obolibrary.org/obo/UPHENO_0067690
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0067691
http://purl.obolibrary.org/obo/GO_0005652	http://purl.obolibrary.org/obo/UPHENO_0067692
