biological_process	location	defined_class
http://purl.obolibrary.org/obo/GO_0048242	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071040
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071105
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0010162	http://purl.obolibrary.org/obo/UPHENO_0071021
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001007	http://purl.obolibrary.org/obo/UPHENO_0071068
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0006012	http://purl.obolibrary.org/obo/UPHENO_0071069
http://purl.obolibrary.org/obo/GO_0046903	http://purl.obolibrary.org/obo/UBERON_0001007	http://purl.obolibrary.org/obo/UPHENO_0071071
http://purl.obolibrary.org/obo/GO_0060047	http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/UPHENO_0071023
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0071024
http://purl.obolibrary.org/obo/GO_0006582	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071027
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001820	http://purl.obolibrary.org/obo/UPHENO_0071047
http://purl.obolibrary.org/obo/GO_0009058	http://purl.obolibrary.org/obo/GO_0005604	http://purl.obolibrary.org/obo/UPHENO_0084651
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0009024	http://purl.obolibrary.org/obo/UPHENO_0071049
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071076
http://purl.obolibrary.org/obo/GO_0012501	http://purl.obolibrary.org/obo/UBERON_0009024	http://purl.obolibrary.org/obo/UPHENO_0071110
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/UPHENO_0071079
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/GO_0005604	http://purl.obolibrary.org/obo/UPHENO_0084652
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0010162	http://purl.obolibrary.org/obo/UPHENO_0071057
http://purl.obolibrary.org/obo/GO_0006915	http://purl.obolibrary.org/obo/UBERON_0006012	http://purl.obolibrary.org/obo/UPHENO_0071031
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0071117
http://purl.obolibrary.org/obo/GO_0007413	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071034
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071090
http://purl.obolibrary.org/obo/GO_0046903	http://purl.obolibrary.org/obo/UBERON_0001820	http://purl.obolibrary.org/obo/UPHENO_0071035
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071097
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UBERON_0003690	http://purl.obolibrary.org/obo/UPHENO_0071154
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UBERON_0001075	http://purl.obolibrary.org/obo/UPHENO_0071155
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071132
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001868	http://purl.obolibrary.org/obo/UPHENO_0071159
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UBERON_0004382	http://purl.obolibrary.org/obo/UPHENO_0071160
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000975	http://purl.obolibrary.org/obo/UPHENO_0071161
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0001416	http://purl.obolibrary.org/obo/UPHENO_0071135
http://purl.obolibrary.org/obo/GO_0060004	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0071136
http://purl.obolibrary.org/obo/GO_0060004	http://purl.obolibrary.org/obo/UBERON_0010709	http://purl.obolibrary.org/obo/UPHENO_0071137
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UBERON_0000975	http://purl.obolibrary.org/obo/UPHENO_0071164
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0001419	http://purl.obolibrary.org/obo/UPHENO_0071138
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0019200	http://purl.obolibrary.org/obo/UPHENO_0071139
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0019200	http://purl.obolibrary.org/obo/UPHENO_0071140
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001419	http://purl.obolibrary.org/obo/UPHENO_0071165
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001682	http://purl.obolibrary.org/obo/UPHENO_0071143
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001416	http://purl.obolibrary.org/obo/UPHENO_0071167
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0003690	http://purl.obolibrary.org/obo/UPHENO_0071145
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001075	http://purl.obolibrary.org/obo/UPHENO_0071146
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0001868	http://purl.obolibrary.org/obo/UPHENO_0071147
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UBERON_0001682	http://purl.obolibrary.org/obo/UPHENO_0071148
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0003951	http://purl.obolibrary.org/obo/UPHENO_0071173
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0071149
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0010709	http://purl.obolibrary.org/obo/UPHENO_0071150
http://purl.obolibrary.org/obo/GO_0006582	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071175
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0004382	http://purl.obolibrary.org/obo/UPHENO_0071151
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0003951	http://purl.obolibrary.org/obo/UPHENO_0071178
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/GO_0005776	http://purl.obolibrary.org/obo/UPHENO_0083948
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0081904
http://purl.obolibrary.org/obo/GO_0009085	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UPHENO_0081906
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UPHENO_0081907
http://purl.obolibrary.org/obo/GO_0008104	http://purl.obolibrary.org/obo/GO_0005776	http://purl.obolibrary.org/obo/UPHENO_0083949
http://purl.obolibrary.org/obo/GO_0008104	http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0081908
